SERVICE,DESCRIERE,BENEFICII,PRET (MD),REDUCERE,PRET (UE)
Landing Page One-Page,"Pagină de prezentare compactă, cu design custom, optimizată SEO și CTA-uri clare.","Lansare rapidă online
Conversie ridicată prin call-to-action
Costuri reduse de dezvoltare",5 500,3 500,8 500 
Site Simplu (3–5 pagini),"Site corporativ sau de prezentare cu structură multi-pagină (Despre, Servicii, Portofoliu, Contact).","Profesionalism și credibilitate sporită
Navigare intuitivă pentru vizitatori
Ușor de actualizat prin CMS (WordPress, Webflow etc.)",10 000,7 000,15 000
Site Complex Multilingv (>5 pagini),"Website cu suport pentru minim 2 limbi (ex: RO+EN), structură avansată, funcționalități custom.","Extindere pe piețe internaționale
Conținut adaptat fiecărei limbi
Scalabilitate și SEO pe termen lung",20 000,15 000,30 000
Magazin Online (E-commerce),"Platformă de vânzări online integrată (produse, coș, plată, facturare).","Vânzări 24/7, cu administrare ușoară a catalogului
Plăți sigure și optimizate
Posibilitate de integrare cu ERP/CRM",30 000,25 000,45 000
Creare Logo Profesional,"De la brief și moodboard, până la variante finale vectoriale (SVG, EPS, PNG)","Identitate vizuală puternică
Versatilitate pe toate tipurile de media
Livrare fișier sursă și ghid de utilizare",3 500,2 000,5 000
Maiou cu logo personalizat,"Design cu Logo personalizat, piept/spate.","Lavabil la masina, respirant cu manici scurte.",200,150,250
Chipiu cu logo personalizat,Chipiu cu logo personalizat,"Poliester premium, snapback reglabil cu logo personalizat",120,80,150
Stilou cu logo personalizat,Set de pixuri cu bila de la 20 bucati,"Ideal pentru birou, jurnal si proiecte.",20,20,20
Carte de vizita personalizata,Carte de vizita personalizata cu 2 fete- foto si text personalizat.,"Design elegant perfect pentru birou, networking, nunti, zile de nastere si ocazii speciale.",1,0.5,1
Agenda personalizata,"Agenda personalizata A5 cu stilou gravat personalizat. Agenda minimalista texturata cu pagini simple pentru note, jurnalsm, si intalniri.","Nume personalizat, telefon, logo- inchidere cu catara retro.",175,155,200
Refresh Logo,"Rebranding ușor: modernizare, ajustare paletă de culori, tipografie.","Păstrezi recunoașterea brandului
Economii față de creare de la zero
Adaptare la trenduri moderne",2 000,1 500,3 000
Chatbot Simplu (Rule-Based),Chatbot cu scenarii prestabilite pentru întrebări frecvente şi navigare produse.,"Răspuns instant la întrebări comune
Reducerea volumului de muncă manual
Implementare rapidă pe site ",7 000,5 000,10 000
"Chatbot Simplu, integrat pe Instagram",Chatbot cu scenarii prestabilite pentru întrebări frecvente şi navigare produse.,"Răspuns instant la întrebări comune
Reducerea volumului de muncă manual
Implementare rapidă pe site ",7 000,5 000,10 000
"Chatbot Simplu, integrat pe Mesenger",Chatbot cu scenarii prestabilite pentru întrebări frecvente şi navigare produse.,"Răspuns instant la întrebări comune
Reducerea volumului de muncă manual
Implementare rapidă pe site ",7 000,5 000,10 000
"Chatbot Simplu, integrat pe Mesenger, Instagram, Telegram",Chatbot cu scenarii prestabilite pentru întrebări frecvente şi navigare produse.,"Răspuns instant la întrebări comune
Reducerea volumului de muncă manual
Implementare rapidă pe site ",10 000,8 000,12 000
Chatbot Inteligent cu GPT & CRM,"Chatbot avansat, bazat pe GPT-4, integrat direct cu HubSpot (sau alt CRM). Face scopul: recunoașterea intențiilor, recomandări de produse, colectare date și creare/deplasare automatizată a lead-urilor și notificare manager.","Conversații naturale, adaptive
Sincronizare instantă cu CRM
Notificări automate pe Telegram/Slack pentru echipa de vânzări
Creștere a ratei de conversie și calitate lead-uri",18 000,10 000,25 000
Implementare & Configurare CRM,"Setare HubSpot (sau alt CRM), pipeline-uri, proprietăți custom, webhook-uri, automatizări.","Organizezi eficient lead-urile și contactele
Automatizări de marketing și vânzări
Dashboard-uri personalizate pentru rapoarte",10 000,5 000,15 000
Mentenanță Lunara,"Actualizări de securitate, backup automatizat, monitorizare uptime, optimizare performanță.","Site performant și sigur non-stop
Suport tehnic prioritar
Raport lunar de activitate și recomandări",2 000,1500,4 000
Pachet : Startup Light,Landing Page + Creare Logo → 5 500 + 3 500 = 9 000 MDL,Discount pachet  →5 000 MDL,9 000,5000,9 000
Pachet : Business Smart,Site Simplu + Chatbot Simplu + Refresh Logo → 10 000 + 7 000 + 2 000 = 19 000 MDL,Discount pachet  → 10 000 MDL,19 000,10 000,19 000
Pachet : Enterprise Complete,Site Multilingv + Magazin Online + Chatbot Inteligent + CRM + 3 luni Mentenanță 20 000 + 30 000 + 18 000 + 10 000 + (1 200×3) = 50 000 MDL,Discount pachet → 20 000 MDL,50 000,20 000,50 000
