SERVICE,DESCRIERE,BENEFICII,PRET (MD),REDUCERE,PRET (UE)
Landing Page One-Page,"Compact presentation page with custom design, SEO optimized, and clear CTAs.","Fast online launch
High conversion through clear call-to-action
Low development costs",5 500,3 500,8 500 
Simple Website (3–5 pages),"Corporate or showcase website with a multi-page structure (About, Services, Portfolio, Contact).","Enhanced professionalism and credibility
Intuitive navigation for visitors
Easy to update via CMS (WordPress, Webflow, etc.)",10 000,7 000,15 000
Complex multilingual website (more than 5 pages),"Website with support for at least 2 languages (e.g., RO + EN), advanced structure, custom functionalities.","Expansion into international markets
Content tailored for each language
Long-term scalability and SEO",20 000,15 000,30 000
Online Store (E-commerce),"Integrated online sales platform (products, cart, payment, invoicing).","24/7 sales with easy catalog management
Secure and optimized payments
Possibility to integrate with ERP/CRM systems",30 000,25 000,45 000
Professional Logo Design,"From brief and moodboard to final vector versions (SVG, EPS, PNG)","Strong visual identity
Versatility across all media types
Delivery of source files and usage guidelines",3 500,2 000,5 000
Custom Logo Tank Top,"Custom logo design, front and back.","Machine washable, breathable fabric with short sleeves.",200,150,250
Cap with custom logo,Cap with custom logo,"Premium polyester, adjustable snapback cap with custom logo",120,80,150
Pen with custom logo,Set of 20+ ballpoint pens,"Ideal for office, journaling, and projects.",20,20,20
Personalized business card,Personalized double-sided business card with photo and custom text.,"Elegant design, perfect for office, networking, weddings, birthdays, and special occasions.",1,0.5,1
Personalized planner,"Personalized A5 planner with custom engraved pen. Minimalist textured planner with simple pages for notes, journaling, and meetings.","Custom name, phone number, logo — closure with vintage buckle.",175,155,200
Logo refresh,"Light rebranding: modernization, color palette adjustment, typography update.","Maintain brand recognition
Cost savings compared to creating from scratch
Adaptation to modern trends",2 000,1 500,3 000
Simple Chatbot (Rule-Based),Chatbot with predefined scenarios for frequently asked questions and product navigation.,"Instant response to common questions
Reduction of manual workload
Quick implementation on the website",7 000,5 000,10 000
Simple chatbot integrated on Instagram,Chatbot with predefined scenarios for FAQs and product navigation.,"Instant response to common questions
Reduction of manual workload
Quick implementation on the website",7 000,5 000,10 000
Simple chatbot integrated on Messenger,Chatbot with preset scenarios for frequently asked questions and product navigation.,"Instant answers to common questions
Reduction of manual workload
Quick implementation on the website",7 000,5 000,10 000
"Simple chatbot integrated on Messenger, Instagram, and Telegram",Chatbot with preset scenarios for frequently asked questions and product navigation.,"Instant response to common questions
Reduction of manual workload
Quick implementation on the website",10 000,8 000,12 000
Intelligent Chatbot with GPT & CRM Integration,"Advanced chatbot powered by GPT-4, directly integrated with HubSpot (or other CRM). It excels at intent recognition, product recommendations, data collection, automated lead creation and movement, plus manager notifications.","Natural, adaptive conversations
Instant CRM synchronization
Automatic notifications via Telegram/Slack for the sales team
Increased conversion rates and higher-quality leads",18 000,10 000,25 000
CRM Implementation & Configuration,"Setup of HubSpot (or other CRM), pipelines, custom properties, webhooks, automations.","Efficient organization of leads and contacts
Marketing and sales automations
Custom dashboards for reporting",10 000,5 000,15 000
Monthly maintenance,"Security updates, automated backup, uptime monitoring, performance optimization.","High-performance and secure website 24/7
Priority technical support
Monthly activity report and recommendations",2 000,1500,4 000
Package : Startup Light,"Landing Page + Logo Creation → 5,500 + 3,500 = 9,000 MDL","Package discount → 5,000 MDL",9 000,5000,9 000
Package : Business Smart,"Simple Website + Simple Chatbot + Logo Refresh → 10,000 + 7,000 + 2,000 = 19,000 MDL","Package discount → 10,000 MDL",19 000,10 000,19 000
Package : Enterprise Complete,"Multilingual Website + Online Store + Intelligent Chatbot + CRM + 3 months Maintenance
20,000 + 30,000 + 18,000 + 10,000 + (1,200 × 3) = 50,000 MDL","Package discount → 20,000 MDL",50 000,20 000,50 000
